accord_1,accord_2,color_1,color_code_1,color_2,color_code_2,type_name,type_description,type_sentence
FRESH,MUSKY,라이트블루,#A9D6E5,아이보리,#F5F1E8,THE PURE,맑고 깨끗한 느낌이 연상되는 투명한 향,맑고 깨끗한 느낌이 연상되는 유형이죠.
FRESH,FLORAL,라이트블루,#A9D6E5,로즈핑크,#FF8FB1,THE VIVID,산뜻함 위에 화사한 생기가 더해진 선명한 향,산뜻함 위에 화사한 생기가 더해진 유형이죠.
FRESH,SPICY,라이트블루,#A9D6E5,퍼플,#5A3FD9,THE SHARP,선명하고 또렷한 긴장감이 살아있는 향,선명하고 또렷한 긴장감이 살아있는 유형이죠.
FRESH,WOODY,라이트블루,#A9D6E5,그린,#5F9E6E,THE NATURAL,자연스럽고 담백한 무드로 편안함을 주는 향,자연스럽고 담백한 무드로 편안함을 주는 유형이죠.
FRESH,SWEET,라이트블루,#A9D6E5,옐로우,#F6E27A,THE LIVELY,상큼함과 달콤함이 어우러진 생기 있는 향,상큼함과 달콤함이 어우러진 생기 있는 유형이죠.
WOODY,SPICY,그린,#5F9E6E,퍼플,#5A3FD9,THE DEEP,묵직하고 깊이감 있는 분위기가 느껴지는 향,묵직하고 깊이감 있는 분위기가 느껴지는 유형이죠.
WOODY,MUSKY,그린,#5F9E6E,아이보리,#F5F1E8,THE CALM,차분하고 안정적인 무드로 편안함을 주는 향,차분하고 안정적인 무드로 편안함을 주는 유형이죠.
WOODY,SWEET,그린,#5F9E6E,옐로우,#F6E27A,THE WARM,따뜻한 온기가 은은하게 감도는 향,따뜻한 온기가 은은하게 감도는 유형이죠.
WOODY,FLORAL,그린,#5F9E6E,로즈핑크,#FF8FB1,THE HARMONY,자연스러움과 화사함이 균형 있게 어우러진 향,자연스러움과 화사함이 균형 있게 어우러진 유형이죠.
FLORAL,MUSKY,로즈핑크,#FF8FB1,아이보리,#F5F1E8,THE SOFT,부드럽고 포근하게 감싸 편안함을 주는 향,부드럽고 포근하게 감싸 편안함을 주는 유형이죠.
FLORAL,SWEET,로즈핑크,#FF8FB1,옐로우,#F6E27A,THE LOVELY,은은한 달콤함과 화사함이 어우러진 사랑스러운 향,은은한 달콤함과 화사함이 어우러진 유형이죠.
MUSKY,SWEET,아이보리,#F5F1E8,옐로우,#F6E27A,THE SILKY,매끄럽고 부드러운 질감이 느껴지는 향,매끄럽고 부드러운 질감이 느껴지는 유형이죠.
SPICY,FLORAL,퍼플,#5A3FD9,로즈핑크,#FF8FB1,THE ALLURE,관능적이고 매혹적인 분위기가 인상적인 향,관능적이고 매혹적인 분위기가 인상적인 유형이죠.
SPICY,SWEET,퍼플,#5A3FD9,옐로우,#F6E27A,THE BOLD,강렬하면서도 대담한 인상이 또렷하게 남는 향,강렬하면서도 대담한 인상이 또렷하게 남는 유형이죠.
MUSKY,SPICY,아이보리,#F5F1E8,퍼플,#5A3FD9,THE MYSTIC,깊고 신비로운 분위기가 은밀하게 감도는 향,깊고 신비로운 분위기가 은밀하게 감도는 유형이죠.
