Perfume Metadata Template,,,,,,,,,,,,,,,,,,
perfume_id,brand_name_en,brand_name_kr,perfume_name_en,perfume_name_kr,is_active,gender,accords,main_accords_1,main_accords_1_score,main_accords_2,main_accords_2_score,main_accords_3,main_accords_3_score,sillage,longevity,season,image_path,description
PERFUME_001,DYPTIQUE,딥티크,Fleur de Peau Eau de Parfum,오 드 퍼퓸 플레르 드 뽀,1,UNISEX,MUSKY|POWDERY|IRIS|ALDEHYDIC|SOFT SPICY|AMBER|FLORAL|WOODY|FRESH|EARTHY,MUSKY,3,FLORAL,2,FRESH,1,MODERATE,MODERATE,SPRING|FALL|WINTER|SUMMER,,살결처럼 부드럽게 퍼지는 머스크와 아이리스의 따뜻한 향수
PERFUME_002,LE LABO,르 라보,Another 13,아나더 13,1,UNISEX,MUSKY|AMBER|WOODY|ANIMALIC|FRUITY|POWDERY|FLORAL,MUSKY,3,SWEET,2,FRESH,1,MODERATE,LONG_LASTING,SPRING|FALL|SUMMER|WINTER,,차갑고 투명한 머스크가 은은하게 스며드는 미니멀한 향수
PERFUME_003,MAISON MARGIELA,메종 마르지엘라,Lazy Sunday Morning,레이지 선데이 모닝,1,UNISEX,MUSKY|FRESH|WHITE FLORAL|ALDEHYDIC|ROSE|POWDERY|FLORAL|SOAPY|IRIS|SWEET,MUSKY,3,FRESH,2,FLORAL,1,MODERATE,MODERATE,SPRING|SUMMER|FALL|WINTER,,햇살에 말린 이불처럼 깨끗하고 포근한 일상의 여유를 담은 향수
PERFUME_004,CHANEL,샤넬,Bleu de Chanel,블루 드 샤넬,1,MALE,CITRUS|WOODY|FRESH SPICY|AROMATIC|AMBER|SMOKY|BALSAMIC|WARM SPICY|GREEN|FRESH,CITRUS,3,WOODY,2,SPICY,1,MODERATE,MODERATE,SPRING|SUMMER|FALL|WINTER,,세련된 시트러스와 깊은 우디가 균형 잡힌 도시적인 남성의 향수
PERFUME_005,DIOR,디올,Sauvage,소바쥬,1,MALE,FRESH SPICY|AMBER|CITRUS|AROMATIC|MUSKY|WOODY|LAVENDER|HERBAL|WARM SPICY,SPICY,3,SWEET,2,CITRUS,1,STRONG,LONG_LASTING,SPRING|SUMMER|FALL|WINTER,,거칠고 시원한 공기처럼 강렬하게 퍼지는 스파이시 앰버 계열의 향수
PERFUME_006,HERMÈS,에르메스,Terre d'Hermès,떼르 데르메스,1,MALE,CITRUS|WOODY|FRESH SPICY|AROMATIC|EARTHY|WARM SPICY,CITRUS,3,WOODY,2,SPICY,1,MODERATE,LONG_LASTING,SPRING|FALL|SUMMER|WINTER,,대지의 흙내음과 시트러스가 어우러진 자연적인 깊이를 담은 향수
PERFUME_007,CHANEL,샤넬,Chanel No 5 Eau de Parfum,샤넬 넘버 5 오 드 퍼퓸,1,FEMALE,WOODY|ALDEHYDIC|FRESH|WHITE FLORAL|POWDERY|EARTHY|YELLOW FLORAL|IRIS|CITRUS|FLORAL,WOODY,3,FRESH,2,FLORAL,1,MODERATE,LONG_LASTING,WINTER|FALL|SPRING|SUMMER,,클래식한 플로럴과 알데하이드가 우아하게 퍼지는 상징적인 향수
PERFUME_008,BYREDO,바이레도,Gypsy Water,집시 워터,1,UNISEX,WOODY|AROMATIC|FRESH SPICY|CITRUS|POWDERY|VANILLA|AMBER|BALSAMIC|WARM SPICY,WOODY,3,FRESH,2,SPICY,1,INTIMATE,MODERATE,SPRING|SUMMER|FALL|WINTER,,자유로운 감성과 드라이한 우디가 어우러진 보헤미안 무드의 향수
PERFUME_009,GUCCI,구찌,Gucci Bloom,구찌 블룸,1,FEMALE,WHITE FLORAL|TUBEROSE|FLORAL|ANIMALIC|GREEN,FLORAL,3,MUSKY,2,FRESH,1,MODERATE,MODERATE,SPRING|SUMMER|FALL|WINTER,,풍성한 화이트 플로럴이 꽃밭처럼 펼쳐지는 여성스러운 향수
PERFUME_010,MAISON MARGIELA,메종 마르지엘라,By the Fireplace,바이 더 파이어플레이스,1,UNISEX,WOODY|VANILLA|BALSAMIC|WARM SPICY|AMBER|POWDERY|NUTTY|MUSKY|SOFT SPICY|SWEET,WOODY,3,SWEET,2,SPICY,1,MODERATE,MODERATE,FALL|WINTER|SPRING|SUMMER,,벽난로의 따뜻한 온기와 달콤한 바닐라가 감싸는 포근한 향수
